RP,FP,cat,subcat,offset,ESU,MFS,IMN,UPS,Chosen
rec4n,flow.gageht.4,flow,gageht,4,NA,NA,0.164521369,NA,
rec4n,flow.gageht.5,flow,gageht,5,NA,0.004392012,NA,NA,
rec4n,flow.mean.0,flow,mean,0,NA,0.186812305,0.058227726,NA,
rec4n,flow.mean.1,flow,mean,1,NA,0.032019435,0.068563717,0.15200073,
rec4n,flow.mean.2,flow,mean,2,NA,NA,0.078667601,0.05402261,
rec4n,flow.mean.3,flow,mean,3,NA,NA,0.059833654,NA,
rec4n,flow.mean.4,flow,mean,4,NA,NA,0.123405327,NA,
rec4n,flow.mean.5,flow,mean,5,NA,NA,NA,NA,
rec4n,flow.peak.0,flow,peak,0,NA,NA,NA,NA,
rec4n,flow.peak.1,flow,peak,1,NA,NA,NA,NA,
rec4n,flow.peak.2,flow,peak,2,NA,NA,0.109144789,0.05621862,
rec4n,flow.peak.3,flow,peak,3,NA,NA,NA,NA,
rec4n,flow.peak.4,flow,peak,4,NA,NA,0.064478684,0.04964559,
rec4n,flow.peak.5,flow,peak,5,NA,-0.073539072,NA,NA,
rec4n,flow.peakday.0,flow,peakday,0,NA,NA,NA,NA,
rec4n,flow.peakday.1,flow,peakday,1,NA,NA,NA,NA,
rec4n,flow.peakday.2,flow,peakday,2,NA,NA,NA,NA,
rec4n,flow.peakday.3,flow,peakday,3,NA,0.084283039,NA,NA,
rec4n,flow.peakday.4,flow,peakday,4,NA,0.124620681,NA,NA,
rec4n,flow.peakday.5,flow,peakday,5,NA,NA,NA,0.13754081,
rec4n,harv.COL.4,harv,COL,4,0.5891971,0.438927829,NA,NA,1
rec4n,harv.COL.5,harv,COL,5,0.5109336,0.302709271,0.305721694,NA,
rec4n,harv.CRsport.4,harv,CRsport,4,0.6225313,0.550785748,NA,NA,1
rec4n,harv.CRsport.5,harv,CRsport,5,0.5793448,0.508923611,NA,NA,
rec4n,harv.NBC.4,harv,NBC,4,0.5300697,0.334218765,NA,0.23136233,1
rec4n,harv.NBC.5,harv,NBC,5,0.5135019,0.303495922,NA,NA,
rec4n,harv.ORWA.4,harv,ORWA,4,0.6500928,0.241524336,NA,NA,1
rec4n,harv.ORWA.5,harv,ORWA,5,0.6214735,0.283653521,NA,NA,
rec4n,harv.ORWAsport.4,harv,ORWAsport,4,0.6531107,NA,0.118392113,NA,1
rec4n,harv.ORWAsport.5,harv,ORWAsport,5,0.6042383,0.1733443,0.110698442,NA,
rec4n,harv.PACtot.4,harv,PACtot,4,0.4469647,0.017055722,0.132434838,NA,1
rec4n,harv.PACtot.5,harv,PACtot,5,0.4234078,0.046875611,0.205402686,0.26705769,
rec4n,harv.SEAK.4,harv,SEAK,4,0.6251705,0.402849794,NA,NA,1
rec4n,harv.SEAK.5,harv,SEAK,5,0.6194892,0.428637519,NA,NA,
rec4n,harv.stock.0,harv,stock,0,NA,0.451919944,NA,NA,
rec4n,harv.WCVI.4,harv,WCVI,4,0.2752392,NA,-0.053325169,NA,1
rec4n,harv.WCVI.5,harv,WCVI,5,0.2600324,-0.066121579,0.039766555,NA,
rec4n,hatch.all.1,hatch,all,1,0.4095598,NA,0.222437367,NA,
rec4n,hatch.all.2,hatch,all,2,0.3532906,NA,NA,NA,
rec4n,hatch.all.3,hatch,all,3,0.3457484,NA,0.278789691,NA,
rec4n,hatch.BC.1,hatch,BC,1,0.3911795,NA,0.238162273,NA,
rec4n,hatch.BC.2,hatch,BC,2,0.3856131,NA,0.13097063,NA,
rec4n,hatch.BC.3,hatch,BC,3,0.3644654,NA,NA,NA,
rec4n,hatch.CAOR.1,hatch,CAOR,1,0.3184719,NA,0.032028042,NA,
rec4n,hatch.CAOR.2,hatch,CAOR,2,0.3650652,0.07634477,0.105357349,NA,
rec4n,hatch.CAOR.3,hatch,CAOR,3,0.3804054,0.027172103,0.175683798,NA,
rec4n,hatch.COL.1,hatch,COL,1,0.4507839,0.301307825,NA,NA,
rec4n,hatch.COL.2,hatch,COL,2,0.4018416,0.317683808,NA,NA,
rec4n,hatch.COL.3,hatch,COL,3,0.3725004,0.304707886,NA,NA,
rec4n,hatch.SAL.1,hatch,SAL,1,0.3566929,NA,NA,NA,
rec4n,hatch.SAL.2,hatch,SAL,2,0.3553378,NA,NA,NA,
rec4n,hatch.SAL.3,hatch,SAL,3,0.358601,NA,NA,NA,
rec4n,hatch.SEAK.1,hatch,SEAK,1,0.3958844,0.265484147,-0.150284881,NA,
rec4n,hatch.SEAK.2,hatch,SEAK,2,0.3969715,0.218618885,-0.096554071,NA,
rec4n,hatch.SEAK.3,hatch,SEAK,3,0.4277926,0.218712486,-0.019968058,NA,
rec4n,hatch.SNAK.1,hatch,SNAK,1,0.5252697,0.434857932,NA,NA,
rec4n,hatch.SNAK.2,hatch,SNAK,2,0.5679692,0.433069998,NA,NA,1
rec4n,hatch.SNAK.3,hatch,SNAK,3,0.5074452,0.515405991,NA,NA,
rec4n,hatch.spring.1,hatch,spring,1,0.5527095,0.320654914,0.065719827,-0.02329789,
rec4n,hatch.spring.2,hatch,spring,2,0.5625036,0.348182753,0.046621503,NA,
rec4n,hatch.spring.3,hatch,spring,3,0.5682219,0.308043372,0.195962701,NA,
rec4n,hatch.sum.1,hatch,sum,1,0.4035166,NA,0.264669101,NA,
rec4n,hatch.sum.2,hatch,sum,2,0.3704331,NA,NA,NA,
rec4n,hatch.sum.3,hatch,sum,3,0.3567153,NA,NA,NA,
rec4n,hatch.summer.1,hatch,summer,1,0.4753192,0.264424476,-0.098517019,NA,
rec4n,hatch.summer.2,hatch,summer,2,0.5006056,0.254952142,-0.036878185,NA,1
rec4n,hatch.summer.3,hatch,summer,3,0.4872109,0.230587527,-0.029083252,NA,
rec4n,hatch.total.1,hatch,total,1,0.5458818,0.343046634,0.054509914,NA,
rec4n,hatch.total.2,hatch,total,2,0.5579013,0.342544485,0.079162406,NA,1
rec4n,hatch.total.3,hatch,total,3,0.5622388,0.297192233,0.143982496,NA,
rec4n,hatch.WA.1,hatch,WA,1,0.4320359,0.25725806,NA,NA,
rec4n,hatch.WA.2,hatch,WA,2,0.4260393,NA,NA,NA,
rec4n,hatch.WA.3,hatch,WA,3,0.3863835,0.134299563,0.263631505,NA,
rec4n,hatch.WAK.1,hatch,WAK,1,0.5319489,0.291675321,NA,NA,
rec4n,hatch.WAK.2,hatch,WAK,2,0.5644148,0.269485783,NA,NA,1
rec4n,hatch.WAK.3,hatch,WAK,3,0.5508733,0.309230644,NA,0.10174638,
rec4n,hseal.COL.2,hseal,COL,2,0.5370619,0.298387224,NA,NA,
rec4n,hseal.COL.3,hseal,COL,3,0.5637866,0.45141064,-0.044133958,NA,
rec4n,hseal.COL.4,hseal,COL,4,0.5929426,0.367540455,NA,NA,1
rec4n,hseal.COL.5,hseal,COL,5,0.5990132,0.265359952,NA,NA,
rec4n,hseal.SalishSea.2,hseal,SalishSea,2,0.3987312,0.210636797,-0.086209512,NA,
rec4n,hseal.SalishSea.3,hseal,SalishSea,3,0.4425542,0.164630217,-0.045422989,NA,
rec4n,hseal.SalishSea.4,hseal,SalishSea,4,0.4387737,0.147409454,0.063402241,NA,
rec4n,hseal.SalishSea.5,hseal,SalishSea,5,0.4263916,0.079559058,0.162906045,NA,
rec4n,hseal.WA.2,hseal,WA,2,0.3586941,0.23021147,-0.057386158,NA,
rec4n,hseal.WA.3,hseal,WA,3,0.3910331,0.128660008,-0.042770749,NA,
rec4n,hseal.WA.4,hseal,WA,4,0.4309754,0.141158156,0.07302893,NA,
rec4n,hseal.WA.5,hseal,WA,5,0.4446415,0.045134079,0.13549024,NA,
rec4n,hseal.WCVIBC.2,hseal,WCVIBC,2,0.4143986,0.258299246,NA,NA,
rec4n,hseal.WCVIBC.3,hseal,WCVIBC,3,0.3844529,0.193674009,-0.064272842,NA,
rec4n,hseal.WCVIBC.4,hseal,WCVIBC,4,0.4287617,0.140684742,0.042454902,NA,
rec4n,hseal.WCVIBC.5,hseal,WCVIBC,5,0.4164536,0.135527043,NA,NA,
rec4n,npgo.fal.2,npgo,fal,2,0.5113809,0.435513501,0.240490211,0.30298996,1
rec4n,npgo.fal.3,npgo,fal,3,0.4732932,0.386255046,0.230405963,0.2825991,
rec4n,npgo.fal.4,npgo,fal,4,0.4612654,0.348286631,0.112656948,0.13260215,
rec4n,npgo.fal.5,npgo,fal,5,0.4557066,0.334784183,0.038651223,0.07102992,
rec4n,npgo.spr.2,npgo,spr,2,0.554749,0.506538707,0.186653194,0.34650157,1
rec4n,npgo.spr.3,npgo,spr,3,0.5005091,0.477113342,0.198113007,0.31843561,
rec4n,npgo.spr.4,npgo,spr,4,0.4805774,0.399304248,0.197164654,0.1999659,
rec4n,npgo.spr.5,npgo,spr,5,0.4425558,0.340940022,0.12936603,NA,
rec4n,npgo.sum.2,npgo,sum,2,0.5237682,0.458595286,0.152582663,0.31618174,1
rec4n,npgo.sum.3,npgo,sum,3,0.4812506,0.445253033,0.196417146,0.29562153,
rec4n,npgo.sum.4,npgo,sum,4,0.4938566,0.414815535,0.135430907,0.16663653,
rec4n,npgo.sum.5,npgo,sum,5,0.4615584,0.334112953,0.082669702,NA,
rec4n,npgo.win.2,npgo,win,2,0.5075505,0.477963388,0.123263504,0.23866935,1
rec4n,npgo.win.3,npgo,win,3,0.4981688,0.445499611,0.206902214,0.21942272,
rec4n,npgo.win.4,npgo,win,4,0.4708549,0.421281664,0.155952096,0.25602312,
rec4n,npgo.win.5,npgo,win,5,0.4431059,0.313394355,0.057939241,0.20526415,
rec4n,npgo.yravg.2,npgo,yravg,2,0.538644,0.47454217,0.197035155,0.32891513,
rec4n,npgo.yravg.3,npgo,yravg,3,0.4996071,0.474760434,0.220487904,0.28094992,
rec4n,npgo.yravg.4,npgo,yravg,4,0.4789747,0.419719017,0.194544405,0.19320623,
rec4n,npgo.yravg.5,npgo,yravg,5,0.46606,0.339331348,0.111584925,0.15727441,
rec4n,npgo.yrsum.2,npgo,yrsum,2,0.5449867,0.501964827,0.178909651,0.33742114,
rec4n,npgo.yrsum.3,npgo,yrsum,3,0.5008234,0.46319257,0.214470423,0.27014984,
rec4n,npgo.yrsum.4,npgo,yrsum,4,0.4758975,0.412763515,0.164288766,0.21692319,
rec4n,npgo.yrsum.5,npgo,yrsum,5,0.4722144,0.348897317,0.102635204,0.13409941,
rec4n,orca.NRKW.4,orca,NRKW,4,0.4206274,0.161555497,-0.130611087,NA,
rec4n,orca.NRKW.5,orca,NRKW,5,0.4440336,0.145866077,-0.083076635,NA,
rec4n,orca.SEAK.4,orca,SEAK,4,0.4768392,0.23090835,-0.04514281,NA,
rec4n,orca.SEAK.5,orca,SEAK,5,0.4547148,0.173551679,NA,NA,
rec4n,orca.SRKWbirthsJKL.4,orca,SRKWbirthsJKL,4,0.4121963,0.314583882,0.157097692,0.03070569,1
rec4n,orca.SRKWbirthsJKL.5,orca,SRKWbirthsJKL,5,0.4393263,0.251982568,0.106313224,0.04313058,
rec4n,orca.SRKWdeathsJKL.4,orca,SRKWdeathsJKL,4,0.5016564,0.177515025,0.186291444,0.19272183,1
rec4n,orca.SRKWdeathsJKL.5,orca,SRKWdeathsJKL,5,0.4928156,0.271777617,NA,0.2141516,
rec4n,orca.SRKWpodJ.4,orca,SRKWpodJ,4,0.4679127,0.265822734,NA,NA,
rec4n,orca.SRKWpodJ.5,orca,SRKWpodJ,5,0.4566028,0.246183962,NA,NA,
rec4n,orca.SRKWpodJKL.4,orca,SRKWpodJKL,4,0.3853678,0.072595978,0.257093029,0.22145695,1
rec4n,orca.SRKWpodJKL.5,orca,SRKWpodJKL,5,0.3955485,0.099568313,NA,NA,
rec4n,orca.SRKWpodK.4,orca,SRKWpodK,4,0.4368428,0.306686409,NA,NA,
rec4n,orca.SRKWpodK.5,orca,SRKWpodK,5,0.4463868,0.314210194,NA,NA,
rec4n,orca.SRKWpodKL.4,orca,SRKWpodKL,4,0.4186758,0.132110943,NA,NA,
rec4n,orca.SRKWpodKL.5,orca,SRKWpodKL,5,0.3495916,0.085063677,NA,NA,
rec4n,orca.SRKWpodL.4,orca,SRKWpodL,4,0.4111506,NA,NA,NA,
rec4n,orca.SRKWpodL.5,orca,SRKWpodL,5,0.3979777,0.218380511,NA,NA,
rec4n,orca.WAK.4,orca,WAK,4,0.426824,0.195293725,-0.112717944,NA,
rec4n,orca.WAK.5,orca,WAK,5,0.4432776,0.180398176,-0.011461438,NA,
rec4n,pdo.fal.2,pdo,fal,2,0.3831402,0.390879133,0.120753879,NA,
rec4n,pdo.fal.3,pdo,fal,3,0.3669484,0.191067379,0.047575762,NA,
rec4n,pdo.fal.4,pdo,fal,4,0.4116958,0.206076768,NA,NA,
rec4n,pdo.fal.5,pdo,fal,5,0.3861632,0.184341464,NA,0.06101128,
rec4n,pdo.spr.2,pdo,spr,2,0.4839077,0.390664567,NA,NA,
rec4n,pdo.spr.3,pdo,spr,3,0.4212432,0.346620409,0.20016148,NA,
rec4n,pdo.spr.4,pdo,spr,4,0.4276017,0.301035323,0.170232314,NA,
rec4n,pdo.spr.5,pdo,spr,5,0.4450679,0.339088265,0.11599037,NA,
rec4n,pdo.sum.2,pdo,sum,2,0.4330631,0.421571347,NA,NA,
rec4n,pdo.sum.3,pdo,sum,3,0.3912893,0.299440228,NA,NA,
rec4n,pdo.sum.4,pdo,sum,4,0.3979338,0.237173119,0.083381165,NA,
rec4n,pdo.sum.5,pdo,sum,5,0.4010333,0.196623657,NA,0.10380172,
rec4n,pdo.win.2,pdo,win,2,0.3685068,0.253856373,NA,NA,
rec4n,pdo.win.3,pdo,win,3,0.3250166,0.226260803,NA,NA,
rec4n,pdo.win.4,pdo,win,4,0.3589953,0.167658085,0.063704057,NA,
rec4n,pdo.win.5,pdo,win,5,0.405427,0.248964046,NA,NA,
rec4n,pdo.yr.2,pdo,yr,2,0.4333686,0.427353234,NA,NA,
rec4n,pdo.yr.3,pdo,yr,3,0.3950509,0.26843361,0.096730382,NA,
rec4n,pdo.yr.4,pdo,yr,4,0.4242636,0.245676075,0.083296105,NA,
rec4n,pdo.yr.5,pdo,yr,5,0.425255,0.214235877,0.023969405,NA,
rec4n,ssl.bonn.2,ssl,bonn,2,0.5278984,0.376916645,NA,NA,
rec4n,ssl.bonn.3,ssl,bonn,3,0.500824,0.340044481,NA,NA,
rec4n,ssl.bonn.4,ssl,bonn,4,0.5150359,0.32297544,NA,NA,
rec4n,ssl.bonn.5,ssl,bonn,5,0.4859968,0.284621715,NA,NA,
rec4n,ssl.rookORraw.2,ssl,rookORraw,2,0.6465973,0.328661266,NA,NA,
rec4n,ssl.rookORraw.3,ssl,rookORraw,3,0.5716237,0.222222781,0.15592752,0.13427217,
rec4n,ssl.rookORraw.4,ssl,rookORraw,4,0.5648887,0.236090138,0.166731624,NA,
rec4n,ssl.rookORraw.5,ssl,rookORraw,5,0.5779576,0.128965499,0.145234567,0.13755018,
rec4n,ssl.SalishSea.2,ssl,SalishSea,2,0.32294,0.040005617,0.107825406,NA,
rec4n,ssl.SalishSea.3,ssl,SalishSea,3,0.4394703,0.026020927,0.244985031,NA,
rec4n,ssl.SalishSea.4,ssl,SalishSea,4,0.4761119,0.023438245,0.325298052,NA,
rec4n,ssl.SalishSea.5,ssl,SalishSea,5,0.5155135,0.15149195,0.397607878,NA,
rec4n,ssl.SEAK.2,ssl,SEAK,2,0.3962032,0.232134744,NA,NA,
rec4n,ssl.SEAK.3,ssl,SEAK,3,0.4346861,0.17080254,-0.100226155,NA,
rec4n,ssl.SEAK.4,ssl,SEAK,4,0.4576385,0.164296345,-0.097980866,NA,
rec4n,ssl.SEAK.5,ssl,SEAK,5,0.4182887,0.167080183,NA,NA,
rec4n,ssl.WA.2,ssl,WA,2,0.4832356,0.33948168,NA,NA,
rec4n,ssl.WA.3,ssl,WA,3,0.4672327,0.374109492,NA,NA,
rec4n,ssl.WA.4,ssl,WA,4,0.5082411,0.277312843,NA,NA,
rec4n,ssl.WA.5,ssl,WA,5,0.4736423,0.220713558,-0.007411668,NA,
rec4n,ssl.WAK.2,ssl,WAK,2,0.2948656,0.025330837,0.018933988,NA,
rec4n,ssl.WAK.3,ssl,WAK,3,0.3369057,-0.00280544,0.076044581,NA,
rec4n,ssl.WAK.4,ssl,WAK,4,0.3678039,0.024742873,0.227012506,NA,
rec4n,ssl.WAK.5,ssl,WAK,5,0.4348911,0.02732254,0.276841563,NA,
rec4n,ssl.WCVIBC.2,ssl,WCVIBC,2,0.4478765,0.311856176,NA,NA,
rec4n,ssl.WCVIBC.3,ssl,WCVIBC,3,0.4602172,0.24084891,NA,NA,
rec4n,ssl.WCVIBC.4,ssl,WCVIBC,4,0.4500332,0.201375471,-0.023429858,NA,
rec4n,ssl.WCVIBC.5,ssl,WCVIBC,5,0.4322744,0.138358377,NA,NA,
rec4n,upw.fal.2,upw,fal,2,0.4038436,0.20671098,0.121724107,NA,
rec4n,upw.fal.3,upw,fal,3,0.4299652,0.160157567,0.096337222,NA,
rec4n,upw.fal.4,upw,fal,4,0.4469543,0.266405702,0.087869239,NA,
rec4n,upw.fal.5,upw,fal,5,0.4779666,0.271482816,0.081261699,NA,
rec4n,upw.fti.2,upw,fti,2,0.3720386,0.322747149,0.066497211,NA,
rec4n,upw.fti.3,upw,fti,3,0.4225198,0.322715265,NA,NA,
rec4n,upw.fti.4,upw,fti,4,0.425565,0.265328087,NA,NA,
rec4n,upw.fti.5,upw,fti,5,0.3614815,0.271565411,NA,NA,
rec4n,upw.lusi.2,upw,lusi,2,0.3961239,0.333821295,0.211318082,NA,
rec4n,upw.lusi.3,upw,lusi,3,0.3765311,0.356018596,NA,NA,
rec4n,upw.lusi.4,upw,lusi,4,0.4099582,0.37092771,NA,NA,
rec4n,upw.lusi.5,upw,lusi,5,0.3367887,0.356402064,NA,NA,
rec4n,upw.spr.2,upw,spr,2,0.4091064,0.267285365,NA,NA,
rec4n,upw.spr.3,upw,spr,3,0.3840929,0.298157676,NA,0.14723781,
rec4n,upw.spr.4,upw,spr,4,0.4430607,0.30331629,NA,0.08726457,
rec4n,upw.spr.5,upw,spr,5,0.446924,0.352404764,NA,NA,
rec4n,upw.sti.2,upw,sti,2,0.3948735,0.226983851,NA,NA,
rec4n,upw.sti.3,upw,sti,3,0.3944778,0.246562409,NA,NA,
rec4n,upw.sti.4,upw,sti,4,0.3942786,0.302407253,NA,NA,
rec4n,upw.sti.5,upw,sti,5,0.3652897,0.326283634,NA,NA,
rec4n,upw.sum.2,upw,sum,2,0.2750104,0.179281181,0.045300787,0.03570141,
rec4n,upw.sum.3,upw,sum,3,0.2897031,0.225029048,0.035260813,NA,
rec4n,upw.sum.4,upw,sum,4,0.3070193,0.222966847,NA,NA,
rec4n,upw.sum.5,upw,sum,5,0.3396837,0.197903333,NA,NA,
rec4n,upw.tdmi.2,upw,tdmi,2,0.5218378,0.47350641,0.179272107,NA,
rec4n,upw.tdmi.3,upw,tdmi,3,0.5168835,0.495583455,0.253310248,NA,
rec4n,upw.tdmi.4,upw,tdmi,4,0.5304322,0.481425575,0.265626612,0.23351414,
rec4n,upw.tdmi.5,upw,tdmi,5,0.4932769,0.467044601,0.258744616,0.29798416,
rec4n,upw.tumi.2,upw,tumi,2,0.3928337,0.246728653,NA,NA,
rec4n,upw.tumi.3,upw,tumi,3,0.4458993,0.362390428,0.105875092,NA,
rec4n,upw.tumi.4,upw,tumi,4,0.4323104,0.348725567,0.037680875,NA,
rec4n,upw.tumi.5,upw,tumi,5,0.4402796,0.363989987,NA,NA,
rec4n,upw.win.2,upw,win,2,0.41481,0.301988772,NA,NA,
rec4n,upw.win.3,upw,win,3,0.4310284,0.29495916,0.115581625,NA,
rec4n,upw.win.4,upw,win,4,0.4429433,0.352298328,NA,NA,
rec4n,upw.win.5,upw,win,5,0.4572447,0.386147512,NA,NA,
rec4n,upw.yr.2,upw,yr,2,0.4604645,0.402288082,NA,NA,
rec4n,upw.yr.3,upw,yr,3,0.4908342,0.396246383,0.120555561,0.11277744,
rec4n,upw.yr.4,upw,yr,4,0.5155491,0.392067889,NA,NA,
rec4n,upw.yr.5,upw,yr,5,0.4976931,0.367225402,NA,0.247578,
rec5n,arc.fal.2,arc,fal,2,0.43430216,0.3948685,0.30400112,0.243394784,
rec5n,arc.fal.3,arc,fal,3,0.38727268,0.3460338,0.17507266,0.27068935,
rec5n,arc.fal.4,arc,fal,4,0.31953086,0.3531407,0.19220335,0.205776963,
rec5n,arc.fal.5,arc,fal,5,0.34404493,0.4112368,0.25873144,0.241631389,
rec5n,arc.spr.2,arc,spr,2,0.48405337,0.4497427,0.3032885,0.336440713,
rec5n,arc.spr.3,arc,spr,3,0.45642909,0.4320776,0.22930369,NA,
rec5n,arc.spr.4,arc,spr,4,0.42237756,0.3762993,0.14847802,0.269971137,
rec5n,arc.spr.5,arc,spr,5,0.36848927,0.3923059,0.17974681,0.255740204,
rec5n,arc.sum.2,arc,sum,2,0.44620168,0.3763528,0.3348515,0.284052841,
rec5n,arc.sum.3,arc,sum,3,0.40861864,0.4126424,0.25938016,0.24458236,
rec5n,arc.sum.4,arc,sum,4,0.36646868,0.4483002,0.25782034,0.26099877,
rec5n,arc.sum.5,arc,sum,5,0.35752936,0.4505773,0.33400462,0.25988816,
rec5n,arc.win.2,arc,win,2,0.45029904,0.4540255,0.25552639,0.291217895,
rec5n,arc.win.3,arc,win,3,0.41358073,0.4054025,0.18629812,0.254660921,
rec5n,arc.win.4,arc,win,4,0.36482187,0.3626058,NA,0.325318425,
rec5n,arc.win.5,arc,win,5,0.34142184,0.3983935,0.20138719,0.226853667,
rec5n,csl.bonn.2,csl,bonn,2,0.29036388,0.3957195,0.0760549,0.078536192,
rec5n,csl.bonn.3,csl,bonn,3,0.2736977,0.3808288,0.06127178,0.12752119,
rec5n,csl.bonn.4,csl,bonn,4,0.23072734,0.3323683,0.10416493,0.193965903,
rec5n,csl.bonn.5,csl,bonn,5,0.23673103,0.3088737,0.17971366,0.110021214,
rec5n,csl.COL.2,csl,COL,2,0.26292607,0.3737842,NA,0.150874406,
rec5n,csl.COL.3,csl,COL,3,0.16278327,0.2656028,NA,0.17871643,
rec5n,csl.COL.4,csl,COL,4,0.13579031,0.2956955,0.01658703,0.068382396,
rec5n,csl.COL.5,csl,COL,5,0.13780558,0.2763287,0.16566906,NA,
rec5n,csl.haulout.2,csl,haulout,2,0.38516777,0.1545694,NA,0.158808582,
rec5n,csl.haulout.3,csl,haulout,3,0.33432925,0.1197836,NA,0.184628881,
rec5n,csl.haulout.4,csl,haulout,4,0.28266453,0.2035404,NA,0.185653104,
rec5n,csl.haulout.5,csl,haulout,5,0.21549292,0.2513574,0.02026075,0.075582323,
rec5n,csl.males.2,csl,males,2,0.12763679,0.2868154,0.10396093,NA,
rec5n,csl.males.3,csl,males,3,0.14949745,0.3214434,0.21309015,NA,
rec5n,csl.males.4,csl,males,4,0.19864383,0.2128416,0.16013139,NA,
rec5n,csl.males.5,csl,males,5,0.21244594,0.2181406,0.13709396,-0.018863538,
rec5n,csl.males6.2,csl,males6,2,0.13724064,0.3503173,0.26996214,NA,
rec5n,csl.males6.3,csl,males6,3,0.17065179,0.2711072,0.17961084,NA,
rec5n,csl.males6.4,csl,males6,4,0.2185808,0.2198362,0.16245019,NA,
rec5n,csl.males6.5,csl,males6,5,0.2216867,0.202454,0.17218663,NA,
rec5n,csl.pups.2,csl,pups,2,0.42870024,0.4712491,0.37691212,0.235939841,
