R,L
-0.777505173,0.876528426
-0.518720701,0.40584879
-1.204324244,0.904258312
-1.677024335,0.324657066
-0.209184418,0.822205708
-0.669363277,0.548188057
-1.045663058,0.928792167
-1.908360159,0.248014791
-1.200931778,0.699387954
-0.985146715,0.788416665
-0.669145694,0.625559353
-1.567663239,0.878380683
-0.075009202,0.400605221
1.116133093,0.900452542
-0.34215389,0.336141607
0.368633482,0.836814101
0.867946154,0.51208598
0.495937067,0.936952234
2.168331221,0.221522794
3.041378931,0.646689172
0.921697881,0.856808575
-0.580432579,0.460078652
-0.713215606,0.931523572
0.775429327,0.239202774
-1.107552888,0.682443026
0.298898963,0.812679533
0.041667442,0.570868161
-1.419806697,0.918666389
-0.293300333,0.280194206
0.545634258,0.756320298
-1.641072184,0.691124643
-1.347967495,0.80051764
-1.473818818,0.598834305
-2.170768138,0.900869176
0.215614061,0.33488964
-0.146832966,0.835269634
0.848738171,0.515978523
1.159127339,0.936542576
0.416899847,0.222864674
1.680486323,0.649485042
2.189562887,0.853703334
1.542477335,0.468352319
1.693586347,0.933744091
0.564594035,0.231997738
-0.111887229,0.668155453
1.49586058,0.831464038
0.0960959,0.525493468
1.215559436,0.935062812
0.840617859,0.227701312
-0.052556125,0.659450343
0.32321173,0.842158456
0.023899889,0.498478467
0.596192899,0.937491319
1.041816136,0.219755048
-1.138074764,0.642985376
-0.682803539,0.860831933
0.276246039,0.449251186
0.166392261,0.927842092
1.419397428,0.251066791
0.348321448,0.705120966
1.301980431,0.779720209
0.815690331,0.644087266
0.279251798,0.859645724
-0.521610085,0.452456076
-1.321279182,0.929023407
-0.985688478,0.247270935
-0.070547132,0.697980075
-0.65173101,0.790514588
1.300668585,0.621004779
1.43911384,0.882591913
0.554523641,0.388587854
1.422397213,0.890952502
1.287938669,0.36433553
0.081356789,0.868481818
1.233352153,0.428329311
0.923478218,0.918237421
-0.038186476,0.281540474
-0.821812761,0.758532883
0.023847897,0.686852807
-2.0818532,0.806572607
-2.015367246,0.585049638
-1.003581447,0.910374597
-0.994485198,0.30597259
0.145543391,0.796325115
1.260099543,0.608217849
0.631355521,0.893583365
-0.82214309,0.356595506
-0.557017427,0.860381817
-0.625627051,0.450468548
-2.56038052,0.928299882
0.030528482,0.249597041
0.611982682,0.702368844
-1.105675444,0.783925692
1.118121141,0.635198256
0.346736374,0.868955369
1.529860412,0.42701976
-0.131215941,0.917527067
1.606807271,0.283766806
-0.100835246,0.762162022
0.649092333,0.679766528
0.691897582,0.816314983
-0.177680017,0.562293119
1.540280593,0.922948377
-0.294185608,0.266680013
-0.519795402,0.733356689
-0.916221528,0.733292459
-0.937843935,0.733404856
-1.785657719,0.733208149
-0.752784643,0.733552348
1.132293258,0.732949879
1.624239229,0.734003828
2.061535379,0.732158282
1.179011693,0.735384495
-0.574132932,0.729728023
-0.338868472,0.739593883
-0.944385489,0.722230392
-0.81258123,0.752301198
-0.277388605,0.698790395
0.399632222,0.789308921
1.798676896,0.623626306
-0.553950786,0.880187012
0.100114373,0.395466885
0.731127525,0.896523104
0.439564867,0.347885354
-0.100216359,0.850729255
-0.08784634,0.476208712
0.316123219,0.935377405
2.087305972,0.226674432
1.228507007,0.657349253
0.389791948,0.844654547
0.256574238,0.492049662
1.036491247,0.93726297
1.770438851,0.220504105
0.73053788,0.644557668
0.564160299,0.859136553
-1.268085483,0.453828512
-0.579037618,0.929505726
-0.936766843,0.245718116
-1.506766491,0.695027714
-2.751840115,0.794865716
-0.032346612,0.611453287
1.810928068,0.890918118
2.155306399,0.364436343
3.279774974,0.868584356
2.059377228,0.428045898
1.019539837,0.918084777
-2.024931018,0.282019197
0.017413026,0.759316387
2.305759608,0.685331294
3.247094413,0.808696168
2.786519425,0.580150034
1.981508715,0.913409895
0.633799249,0.296595969
-1.842423479,0.782350501
-1.352177306,0.638543229
-1.251710322,0.865521651
-2.795060085,0.43647721
-2.173186614,0.922368207
-1.20101949,0.268519118
-2.037602964,0.736562254
-2.452989443,0.727643625
-0.240989293,0.743168925
-0.640833408,0.715758276
0.63476791,0.762931373
-1.388505291,0.678251599
-1.265490052,0.818348878
-0.83266349,0.557452469
-1.282467793,0.925122052
0.48261588,0.259767155
-1.305222785,0.721080675
-0.354017326,0.754212507
0.854419317,0.695160005
0.723601363,0.794672147
2.599267397,0.611881222
1.794655298,0.890559721
-0.027309931,0.365486642
-1.403980266,0.869648087
0.80028105,0.425101093
-0.128250156,0.916463077
0.318599974,0.287094397
-0.804254176,0.767517015
-1.874388435,0.669129924
-0.868788067,0.830231507
-0.070283827,0.528551818
-0.851228486,0.934442976
-1.435807903,0.229722376
0.269020809,0.663562523
-0.329736518,0.837177379
-1.008022269,0.511167806
0.37667021,0.9370323
0.928089191,0.221260381
-1.674351123,0.646140844
0.069025043,0.857410702
1.228262224,0.458465964
1.386917322,0.931030964
-0.160381849,0.240796154
0.822645812,0.685550123
1.39633212,0.808391819
0.511996706,0.580854321
0.525540385,0.91298467
0.525905859,0.297913733
1.012811601,0.784354278
0.581111314,0.634284917
-1.186353754,0.869878354
-0.243782159,0.424462511
1.029978874,0.916102829
0.829136225,0.288219134
0.075823037,0.769308242
2.585799247,0.665524015
2.741172968,0.834756752
2.411399109,0.517267189
2.508653567,0.936381916
2.107216393,0.223390589
1.076597849,0.650577126
1.031954584,0.852474484
0.704554218,0.471606517
0.738829378,0.934476788
0.774094151,0.229612203
0.133891696,0.663339147
0.753562815,0.837451212
-0.085820333,0.510475049
-2.430821567,0.937088525
-2.087508597,0.22107608
-0.971342016,0.645755425
2.172315399,0.857832585
2.78029597,0.457334403
1.087527017,0.930673676
0.481212442,0.241950694
2.345348594,0.687789584
1.69057511,0.80525652
-0.862506995,0.588069213
-0.863523369,0.908414301
-0.926974021,0.311991594
-1.372832106,0.804948147
-0.162704136,0.588774853
0.401866271,0.907946346
-0.757534561,0.313424172
-1.512255082,0.806960476
-1.429293184,0.584157248
0.287185131,0.910940841
-0.762300001,0.304228595
-0.122820898,0.793775839
0.880831639,0.613859087
0.816473002,0.888885406
1.099427593,0.370380529
1.701674556,0.874495472
-0.372184281,0.411574279
-0.811043654,0.908178345
0.690585538,0.312714146
0.557085933,0.805965034
-0.247052149,0.586445243
0.678604451,0.909477075
-0.578819446,0.308731969
-0.404598939,0.800312026
0.557303572,0.599297576
0.384008587,0.900524968
0.969216473,0.335924064
-0.188306183,0.836546577
0.182371828,0.512761505
-0.287565378,0.93688929
-0.29974199,0.221729056
-1.031585768,0.647119807
-2.172902821,0.856334109
0.107293187,0.461347511
0.289881346,0.931897444
0.051549945,0.237992242
-1.329941224,0.680069755
-1.340769245,0.815905812
-1.237711224,0.563263191
-1.515626598,0.922491632
-0.100296649,0.268128077
-1.943185433,0.735882793
-0.028047836,0.728847405
0.255510131,0.741108244
-0.884025208,0.719500555
0.490298202,0.756823148
-0.701079261,0.690157015
0.503115827,0.801901161
-0.003362998,0.595708833
-1.574998849,0.903149322
-0.228755538,0.32801484
-0.179590027,0.826579142
-0.324533219,0.53754774
-0.497467212,0.932213127
0.290565026,0.236969298
-0.221380993,0.678055686
0.056298999,0.818610648
1.467900561,0.556827207
1.719934789,0.925390007
1.811038932,0.258912533
0.454334655,0.719538124
1.385516373,0.756761295
1.716607422,0.69027614
1.41294416,0.801731215
0.426652155,0.596093527
-0.164140975,0.902872628
-1.202678821,0.328851171
-0.677244607,0.827655294
1.995863645,0.534907531
1.510167255,0.932930491
2.476461382,0.234641962
0.954532926,0.673444169
1.308479266,0.824689201
0.970724849,0.542163461
1.55886231,0.930833409
1.545399648,0.24143465
-0.136893126,0.686789849
0.326451791,0.806660821
-1.869786407,0.584846777
-3.465208071,0.910503841
-1.825246721,0.305574736
-1.805994116,0.795745563
-0.496357494,0.609504608
-0.890033763,0.892532778
-0.906061672,0.359692568
0.897589471,0.863676842
0.214140013,0.441521829
0.72563851,0.924676138
0.260309941,0.261188166
0.332103713,0.723633404
-0.963483055,0.749955377
-2.163947407,0.703208661
-1.672908114,0.782648401
-1.380569774,0.637912056
-0.357323953,0.866175993
-0.665079495,0.434681782
0.452985532,0.921500739
-2.114268301,0.271264227
-0.909240172,0.741299798
-1.299808841,0.719154029
-1.356488781,0.757393169
0.043750435,0.689057837
-0.211868625,0.803464253
0.060877081,0.592160427
-0.409460144,0.905649209
-0.107712548,0.320432698
2.59599995,0.81658344
0.26817005,0.56165597
0.095485673,0.92324453
-0.971093589,0.265740254
-1.239549962,0.731708893
1.525002137,0.736166209
0.424597316,0.728345707
0.103299168,0.741968393
0.877387137,0.717942364
-1.159739921,0.759379223
-0.117784411,0.68520907
2.656907406,0.808866002
1.115100028,0.579756723
0.28260389,0.913645744
0.599917841,0.295864494
-0.928090148,0.781232607
-2.170197752,0.640905827
-0.4499435,0.863045805
0.666940429,0.443241538
-0.370111345,0.925419289
0.12292763,0.258819107
0.838540045,0.719369164
0.697326805,0.757039387
-1.087235645,0.689740325
-0.104441469,0.802494784
-0.920613471,0.594363396
-1.880960432,0.904108311
-0.054669959,0.325111774
0.799108783,0.822802907
0.047655678,0.546743562
1.00961275,0.929306398
0.773779389,0.246360063
0.743643336,0.696250434
1.445171151,0.793071627
0.354536078,0.61540883
-0.976646838,0.887553007
-1.953309394,0.37426
-1.787804415,0.878210447
-0.492052255,0.401088218
-0.19340055,0.900811722
-1.7673721,0.335062362
-2.060736255,0.835483408
0.163201301,0.51544081
-1.043672618,0.93660593
0.353949666,0.222657231
0.861023578,0.649053708
-0.944679011,0.854186221
-0.177674041,0.467070453
-0.693944106,0.933433669
2.660838564,0.233007206
1.044367556,0.67018068
1.24385968,0.828894511
2.301357838,0.531856502
1.652831833,0.933694362
2.088002245,0.232159501
-0.027543317,0.668480501
-0.801001491,0.831053703
-0.955077483,0.526512922
0.77779416,0.934863994
-0.0694102,0.228349901
0.965401986,0.660773339
-3.358772688,0.84056975
-2.454461785,0.50254592
-0.540603019,0.937475694
1.243941394,0.219806316
2.269285796,0.643093122
2.100860966,0.860716344
0.678912662,0.449563947
0.392882603,0.927960767
1.654399009,0.250685932
1.699383057,0.704409358
1.306414541,0.780813055
1.050479046,0.641790106
-0.765942996,0.862108371
0.240390788,0.445790728
-0.563111112,0.92648008
0.124876738,0.255430279
0.442828503,0.713196193
-1.48948231,0.767052688
0.08263249,0.670060732
-1.864709979,0.829047552
-0.957758449,0.531478906
-0.523557768,0.933784044
0.326632121,0.231867761
1.427059442,0.667894134
0.780566715,0.831793349
1.084442916,0.5246744
0.080153411,0.935216902
-0.815459043,0.22719843
0.309682135,0.658422387
0.527906125,0.843383803
1.500503509,0.495328365
1.544504523,0.937418159
-0.169467973,0.219995077
-0.978163582,0.643489662
-1.291495872,0.860290189
-1.102344902,0.450716174
-0.404760381,0.928391642
0.053783107,0.249302254
-1.583141877,0.701814901
-0.067949948,0.784765297
-1.397898064,0.633407721
-1.200202875,0.870758925
1.810861594,0.422016824
3.874233994,0.914694841
2.618551234,0.292605709
1.314868222,0.77620353
-0.66381173,0.651418537
0.957439932,0.8515216
-0.61609817,0.474122119
0.642514775,0.934988757
1.399030331,0.227942929
0.117253414,0.659943563
0.321460581,0.841567713
-0.598143698,0.499993116
-0.914099792,0.9375
-1.960319981,0.219726563
0.766996367,0.642925502
-1.779296933,0.860896128
-1.090568212,0.449077442
0.103699641,0.927775849
0.507634993,0.251279335
-0.26315535,0.705517616
-1.067326871,0.77910941
0.741428388,0.645367265
0.795909447,0.858256344
-0.609475628,0.45619647
0.827759746,0.93030469
0.154909392,0.243142025
0.341825533,0.690089928
1.081031738,0.801996822
2.624085563,0.595492198
-0.486480919,0.90330465
0.478131361,0.327545097
1.01635824,0.825972398
0.065661041,0.539032483
-0.116554241,0.931786745
0.247426474,0.238350776
0.273398,0.680773814
-0.04805711,0.814953106
-0.531826868,0.56551703
-1.614752575,0.921403196
-0.449088793,0.27157255
0.880793166,0.741828376
1.789454495,0.718196387
2.366487641,0.758963762
2.525651992,0.686016638
2.106446492,0.80774179
2.168496153,0.582356216
1.729035762,0.912065451
-0.433170576,0.30075774
-0.075821376,0.788634456
1.261139562,0.625088065
1.068889461,0.87882366
0.644159304,0.399347379
2.725219187,0.899508937
2.059087863,0.338972285
0.790820118,0.840262781
0.490560101,0.503329648
0.188329718,0.937458425
0.182679982,0.219862973
1.798589552,0.643212172
0.953158929,0.860588527
1.823972149,0.44990968
2.174266497,0.928091099
0.499038368,0.25026754
-1.203628579,0.70362637
1.960763091,0.782011131
2.640053564,0.639261458
1.578653608,0.864773424
0.796405359,0.43852631
1.138299352,0.923328696
0.76408627,0.265473058
-0.647351886,0.731239176
-0.16208051,0.736981663
0.227220012,0.726898843
-0.5746563,0.744438431
1.595908299,0.71343695
-0.503674003,0.766667506
-1.555022343,0.670831654
-1.83271642,0.828062048
0.145170153,0.533907348
2.155801507,0.933188594
1.425555888,0.233803658
0.490461363,0.671773152
0.009628712,0.82685244
1.485249496,0.536878058
0.906131807,0.932400033
1.451074564,0.236363293
0.814630584,0.676858825
-0.444171051,0.820203586
0.792655032,0.553011239
1.677494291,0.926961782
-0.777562571,0.253888638
-0.753568718,0.71035949
-0.688525944,0.771558319
-0.948019594,0.660960298
-1.953105019,0.840344184
-0.629569021,0.503121887
2.120582261,0.937463452
1.852450103,0.219846481
-0.131643453,0.643177522
0.011778191,0.860625739
-0.876765088,0.449809036
-0.55104709,0.928053252
-1.003957483,0.250389052
-1.252779503,0.703853905
-0.97690309,0.781663446
-2.281348751,0.639996387
-0.749488415,0.864003794
1.133642114,0.440629643
1.68964874,0.924281853
1.143366433,0.26244341
1.660037095,0.72587575
-0.472222216,0.746175546
1.177053433,0.710241002
0.56014878,0.771745204
-1.016523115,0.660579541
-0.260841863,0.840803292
-0.663692207,0.501949186
-1.459020735,0.937485753
-1.807783672,0.219773311
-1.80550259,0.643023761
0.689392141,0.860790764
1.265650158,0.449362592
-0.74304445,0.927884448
1.139748437,0.250930871
1.446674021,0.704867133
-0.475138718,0.780110466
-1.451021911,0.643267976
-0.246190069,0.860528577
-0.644217006,0.450071795
-1.132184119,0.928151904
0.452342534,0.250072303
0.884238265,0.703260548
0.106588439,0.782569311
1.581392978,0.638079692
0.125676931,0.866002495
0.476145644,0.435158152
0.701237822,0.921733255
-0.651937807,0.27052898
0.764524384,0.740036441
-1.490470051,0.721434401
-2.126782758,0.753625523
-1.963023462,0.696277852
-0.47130337,0.793031268
0.798812209,0.615497535
0.618386728,0.887476198
0.99911385,0.374483235
0.306389214,0.878420781
-0.725907974,0.400491421
-2.219445547,0.90036766
-0.275491273,0.336396512
-0.730692925,0.83712712
-1.033432728,0.511294893
-2.092334533,0.937021595
-1.028044696,0.22129547
-0.798213298,0.646214193
-0.013666365,0.857330286
-1.163974301,0.458681499
1.077214194,0.931097931
-2.030744036,0.240579654
0.422897772,0.685129065
-0.382419776,0.80897711
-0.941227514,0.579499295
-2.93504318,0.913799483
-0.884002352,0.295387455
-1.533083157,0.780501398
-0.534672062,0.64244612
-3.176513772,0.861409135
-1.442971364,0.447687888
0.039675952,0.927237911
-0.928013481,0.253004127
0.383353374,0.708723896
-0.476445964,0.774128757
-0.088511713,0.655700342
0.323865504,0.846590263
-0.716563851,0.487031961
-0.894724205,0.936869362
0.098933012,0.221794351
0.527804818,0.647256063
0.604423416,0.856183695
0.003182294,0.461749409
-1.59443218,0.932013346
-0.286777983,0.237616758
0.99026984,0.679331379
-0.93225796,0.816900962
0.67921052,0.560901676
0.004520108,0.923591197
-0.511068341,0.264639367
-0.816078091,0.729770147
0.238125917,0.739521299
-0.929430785,0.722360803
-0.503663665,0.752083775
-0.520767878,0.699201638
-0.71488752,0.788695153
-0.952098315,0.624956658
-1.603794907,0.878946876
-0.660983915,0.398997245
-1.574051242,0.899244163
-1.759890288,0.339765369
0.745243088,0.841218236
2.376434771,0.500887933
1.372402291,0.937497043
-0.096690793,0.219736264
0.398813995,0.642945893
-1.306731012,0.860874269
-1.231131718,0.449136608
-0.50772783,0.927798433
0.867703975,0.251206879
-2.710963802,0.705382435
0.350088433,0.779317707
0.209201407,0.644931069
0.61148217,0.858731195
-1.306067159,0.454919738
1.020304773,0.929879137
1.010938832,0.244514727
0.144249172,0.692727283
-0.423393948,0.798210729
-0.428535579,0.604013854
0.153836412,0.896929193
1.399250023,0.346677058
0.575420018,0.849345283
1.247215542,0.479842023
0.816919124,0.93597621
2.872930283,0.224717791
0.822081505,0.653323896
1.559600913,0.849344186
1.082541731,0.4798449
1.057932799,0.935976645
0.351066532,0.22471637
0.839062095,0.653320961
0.953311023,0.849347561
0.966270408,0.479836056
0.381742062,0.935975308
1.374317784,0.224720742
3.620770891,0.653329988
2.682870834,0.849337181
2.163168406,0.479863253
0.797864137,0.935979418
1.503384033,0.224707302
-0.083718566,0.653302239
0.160979418,0.849369088
-0.81057863,0.479779652
-0.82482513,0.935966766
-0.150945256,0.224748672
-2.011162553,0.653387649
-0.45709591,0.849270859
-0.224311279,0.480037002
-1.53330803,0.936005545
1.159143233,0.224621867
0.454466212,0.653125815
-0.8315084,0.849571818
-1.573717348,0.479248291
-0.598815261,0.935885125
-0.294111412,0.225015593
-2.844741672,0.65393841
-1.888755926,0.848636123
-2.360875509,0.481698202
-1.576820904,0.936243916
-0.305549719,0.223842172
0.24124072,0.651513204
-0.627480851,0.851414059
-0.927601032,0.474405596
0.329314775,0.935043474
-0.664927299,0.227764408
0.121440464,0.659579184
-0.033366715,0.842004315
-0.698627957,0.498873933
-0.819483186,0.937495245
-0.821698706,0.219742165
-2.031557196,0.642958297
-1.504252485,0.86086097
-2.022254536,0.449172603
-2.139121135,0.927812159
-2.241583615,0.251162838
-0.187452328,0.705300251
-0.490703461,0.779444277
-0.983952513,0.644665861
0.21063647,0.859019207
0.751323811,0.454144532
-0.185326825,0.929614785
-3.388262058,0.245366761
-0.468157975,0.694357175
0.089914512,0.795844831
0.464847703,0.609284384
0.027125821,0.892713463
1.090573839,0.359160511
2.841089937,0.863115894
1.95541555,0.443050679
0.163831835,0.925337906
0.438544478,0.259078747
1.000943017,0.719838562
0.969245263,0.756266274
0.011908373,0.691228487
0.30153209,0.800368746
0.578896702,0.599169811
0.664809099,0.900620057
0.464717331,0.335638387
0.997454473,0.836194725
0.458863385,0.51364915
0.156214211,0.936801378
-2.180152266,0.222017087
-1.508756288,0.647720625
-0.451577102,0.855669814
0.485586025,0.463121189
-0.085167995,0.932399825
0.095966784,0.236363968
-0.900672784,0.67686016
-0.572588644,0.820201814
1.107326036,0.553015494
1.888774606,0.92696009
-1.015667726,0.253894056
-0.494446242,0.71036949
0.067251106,0.771542541
-0.94289868,0.660992432
-0.128812976,0.840305388
1.678398027,0.503220912
0.445474508,0.937461096
