mpg,stk,year,spawn_tot,spawn_nat,rec3,rec4,rec5,rec6,rec,harvest,recspn,recspn3,recspn4,recspn5
Middle Fork Salmon,Bear Valley Creek,2012,940,940,0,241.535,50.592,0,292.127,0.11,0.310773404,0,0.256952128,0.053821277
Middle Fork Salmon,Bear Valley Creek,2013,505,505,0,72.76,8.52,NA,81.28,0.09,0.160950495,0,0.144079208,0.016871287
Middle Fork Salmon,Bear Valley Creek,2014,997,997,12.648,204.48,NA,NA,217.128,0.12,0.217781344,0.012686058,0.205095286,NA
Middle Fork Salmon,Bear Valley Creek,2015,594,594,0,NA,NA,NA,NA,NA,NA,0,NA,NA
Middle Fork Salmon,Bear Valley Creek,2016,469,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Bear Valley Creek,2017,136,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Bear Valley Creek,2018,213,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Big Creek,1957,1097,1097,30.24,817.91,461.975,0,1310.125,0.62,1.194279854,0.027566089,0.745587967,0.421125798
Middle Fork Salmon,Big Creek,1958,629,629,262.834,520.673,374.199,0,1157.706,0.75,1.840550079,0.417860095,0.827779014,0.59491097
Middle Fork Salmon,Big Creek,1959,429,429,104.352,286.958,119.784,0,511.094,0.69,1.191361305,0.243244755,0.668899767,0.279216783
Middle Fork Salmon,Big Creek,1960,756,756,59.843,98.456,191.884,0,350.183,0.71,0.463205026,0.079157407,0.130232804,0.253814815
Middle Fork Salmon,Big Creek,1961,1838,1838,29.76,147.384,334.841,0,511.985,0.58,0.278555495,0.016191513,0.08018716,0.182176823
Middle Fork Salmon,Big Creek,1962,1087,1087,16.732,246.788,173.432,0,436.952,0.69,0.401979761,0.015392824,0.227035879,0.159551058
Middle Fork Salmon,Big Creek,1963,721,721,17.371,116.382,150.672,0,284.425,0.71,0.394486824,0.024092926,0.161417476,0.208976422
Middle Fork Salmon,Big Creek,1964,248,248,35.86,204.546,180.69,0,421.096,0.62,1.697967742,0.144596774,0.824782258,0.72858871
Middle Fork Salmon,Big Creek,1965,356,356,82.782,120.143,244.278,0,447.203,0.64,1.256188202,0.232533708,0.337480337,0.686174157
Middle Fork Salmon,Big Creek,1966,599,599,16.484,74.475,85.176,0,176.135,0.49,0.294048414,0.027519199,0.12433222,0.142196995
Middle Fork Salmon,Big Creek,1967,326,326,11.916,60.216,160.892,0,233.024,0.58,0.714797546,0.036552147,0.184711656,0.493533742
Middle Fork Salmon,Big Creek,1968,438,438,10.764,128.48,409.968,0,549.212,0.49,1.253908676,0.024575342,0.293333333,0.936
Middle Fork Salmon,Big Creek,1969,317,317,2.628,54.288,66.232,0,123.148,0.47,0.388479495,0.008290221,0.171255521,0.208933754
Middle Fork Salmon,Big Creek,1970,331,331,3.744,69.768,311.625,0,385.137,0.49,1.163555891,0.011311178,0.210779456,0.941465257
Middle Fork Salmon,Big Creek,1971,156,156,0,61.875,58.315,0,120.19,0.39,0.770448718,0,0.396634615,0.373814103
Middle Fork Salmon,Big Creek,1972,292,292,1.5,41.195,12.169,0,54.864,0.55,0.187890411,0.005136986,0.141078767,0.041674658
Middle Fork Salmon,Big Creek,1973,468,468,7.49,30.745,454.203,0,492.438,0.61,1.052217949,0.016004274,0.065694444,0.970519231
Middle Fork Salmon,Big Creek,1974,136,136,0.086,8.797,60.371,0,69.254,0.41,0.509220588,0.000632353,0.064683824,0.443904412
Middle Fork Salmon,Big Creek,1975,375,375,0,10.804,10.355,0,21.159,0,0.056424,0,0.028810667,0.027613333
Middle Fork Salmon,Big Creek,1976,107,107,1.825,7.315,40.125,0,49.265,0.01,0.460420561,0.017056075,0.068364486,0.375
Middle Fork Salmon,Big Creek,1977,43,43,1.33,66.875,18.53,0,86.735,0.36,2.017093023,0.030930233,1.555232558,0.430930233
Middle Fork Salmon,Big Creek,1978,463,463,0,13.09,71.395,0,84.485,0.18,0.182473002,0,0.028272138,0.154200864
Middle Fork Salmon,Big Creek,1979,73,73,2.38,50.435,111.18,0,163.995,0.04,2.246506849,0.03260274,0.690890411,1.523013699
Middle Fork Salmon,Big Creek,1980,19,19,9.17,78.54,196.757,0,284.467,0.03,14.97194737,0.482631579,4.133684211,10.35563158
Middle Fork Salmon,Big Creek,1981,107,107,14.28,144.243,249.716,0,408.239,0.07,3.815317757,0.133457944,1.348065421,2.333794393
Middle Fork Salmon,Big Creek,1982,34,34,0,75.958,98.525,0,174.483,0.09,5.131852941,0,2.234058824,2.897794118
Middle Fork Salmon,Big Creek,1983,131,131,0.326,75.775,351.78,0,427.881,0.09,3.266267176,0.00248855,0.578435115,2.685343511
Middle Fork Salmon,Big Creek,1984,204,204,0.875,138.744,94.462,0,234.081,0.1,1.147455882,0.004289216,0.680117647,0.46304902
Middle Fork Salmon,Big Creek,1985,341,341,1.476,51.392,51.313,0,104.181,0.07,0.305516129,0.004328446,0.150709677,0.150478006
Middle Fork Salmon,Big Creek,1986,326,326,0.146,45.202,45.99,0,91.338,0.08,0.280177914,0.000447853,0.138656442,0.14107362
Middle Fork Salmon,Big Creek,1987,175,175,0.485,15.876,34.026,0,50.387,0.08,0.287925714,0.002771429,0.09072,0.194434286
Middle Fork Salmon,Big Creek,1988,492,492,1.134,72.118,219.765,0,293.017,0.14,0.595563008,0.002304878,0.146581301,0.446676829
Middle Fork Salmon,Big Creek,1989,146,146,0.856,47.775,7.63,0,56.261,0.1,0.385349315,0.005863014,0.327226027,0.052260274
Middle Fork Salmon,Big Creek,1990,97,97,5.46,5.39,4.905,0,15.755,0.12,0.16242268,0.05628866,0.05556701,0.05056701
Middle Fork Salmon,Big Creek,1991,63,63,0.98,3.465,1.236,0,5.681,0.1,0.090174603,0.015555556,0.055,0.019619048
Middle Fork Salmon,Big Creek,1992,107,107,0.63,2.624,74.08,4.599,81.933,0.08,0.765728972,0.00588785,0.024523364,0.692336449
Middle Fork Salmon,Big Creek,1993,273,273,0.14,78.08,65.554,3.696,147.47,0.07,0.54018315,0.000512821,0.286007326,0.240124542
Middle Fork Salmon,Big Creek,1994,14,14,7.84,2.847,7.392,0,18.079,0.1,1.291357143,0.56,0.203357143,0.528
Middle Fork Salmon,Big Creek,1995,9,9,0,31.392,10.269,0,41.661,0.05,4.629,0,3.488,1.141
Middle Fork Salmon,Big Creek,1996,4,4,5.52,48.321,13.64,15.979,83.46,0.05,20.865,1.38,12.08025,3.41
Middle Fork Salmon,Big Creek,1997,160,160,4.41,654.038,308.009,7.446,973.903,0.07,6.08689375,0.0275625,4.0877375,1.92505625
Middle Fork Salmon,Big Creek,1998,73,73,13.64,227.012,354.78,0,595.432,0.06,8.15660274,0.186849315,3.109753425,4.86
Middle Fork Salmon,Big Creek,1999,48,48,0,66.576,60.75,1.156,128.482,0.04,2.676708333,0,1.387,1.265625
Middle Fork Salmon,Big Creek,2000,63,63,9.198,182.25,28.9,0,220.348,0.06,3.497587302,0.146,2.892857143,0.458730159
Middle Fork Salmon,Big Creek,2001,682,682,0,35.7,13.287,2.522,51.509,0.15,0.075526393,0,0.052346041,0.019482405
Middle Fork Salmon,Big Creek,2002,551,551,2.244,29.713,71.974,5.916,109.847,0.13,0.199359347,0.004072595,0.05392559,0.130624319
Middle Fork Salmon,Big Creek,2003,438,438,0,18.624,90.984,0,109.608,0.09,0.250246575,0,0.042520548,0.207726027
Middle Fork Salmon,Big Creek,2004,243,243,3.88,99.756,75.264,5.824,184.724,0.11,0.76018107,0.015967078,0.410518519,0.309728395
Middle Fork Salmon,Big Creek,2005,68,68,7.344,332.864,28.672,8.613,377.493,0.08,5.551367647,0.108,4.895058824,0.421647059
Middle Fork Salmon,Big Creek,2006,43,43,40.32,178.08,120.582,0,338.982,0.08,7.883302326,0.937674419,4.141395349,2.804232558
Middle Fork Salmon,Big Creek,2007,97,97,11.424,129.195,139.37,3.315,283.304,0.09,2.920659794,0.117773196,1.331907216,1.436804124
Middle Fork Salmon,Big Creek,2008,204,204,38.61,231,36.27,0,305.88,0.15,1.499411765,0.189264706,1.132352941,0.177794118
Middle Fork Salmon,Big Creek,2009,448,448,14.63,95.94,18.368,0,128.938,0.09,0.287808036,0.03265625,0.214151786,0.041
Middle Fork Salmon,Big Creek,2010,224,224,59.475,229.026,46.299,0,334.8,0.15,1.494642857,0.265513393,1.0224375,0.206691964
Middle Fork Salmon,Big Creek,2011,297,297,39.606,195.822,81.534,0,316.962,0.09,1.067212121,0.133353535,0.659333333,0.274525253
Middle Fork Salmon,Big Creek,2012,385,385,10.879,122.194,17.856,0,150.929,0.11,0.392023377,0.028257143,0.317387013,0.046379221
Middle Fork Salmon,Big Creek,2013,195,195,10.272,25.68,2.72,NA,38.672,0.09,0.198317949,0.052676923,0.131692308,0.013948718
Middle Fork Salmon,Big Creek,2014,287,287,4.464,65.28,NA,NA,69.744,0.12,0.243010453,0.015554007,0.227456446,NA
Middle Fork Salmon,Big Creek,2015,253,253,0,NA,NA,NA,NA,NA,NA,0,NA,NA
Middle Fork Salmon,Big Creek,2016,214,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Big Creek,2017,48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Big Creek,2018,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Camas Creek,1957,256,256,7,168.72,232.8,0,408.52,NA,1.59578125,0.02734375,0.6590625,0.909375
Middle Fork Salmon,Camas Creek,1958,287,287,8.88,147.44,283.2,0,439.52,NA,1.531428571,0.030940767,0.513728223,0.986759582
Middle Fork Salmon,Camas Creek,1959,194,194,7.76,179.36,332.4,0,519.52,NA,2.677938144,0.04,0.924536082,1.713402062
Middle Fork Salmon,Camas Creek,1960,350,350,9.44,210.52,40.8,0,260.76,0.71,0.745028571,0.026971429,0.601485714,0.116571429
Middle Fork Salmon,Camas Creek,1961,444,444,11.08,25.84,221.4,0,258.32,0.58,0.581801802,0.024954955,0.058198198,0.498648649
Middle Fork Salmon,Camas Creek,1962,388,388,1.36,140.22,204.6,0,346.18,0.69,0.892216495,0.003505155,0.361391753,0.527319588
Middle Fork Salmon,Camas Creek,1963,472,472,7.38,129.58,307.8,0,444.76,0.71,0.942288136,0.015635593,0.274533898,0.652118644
Middle Fork Salmon,Camas Creek,1964,554,554,6.82,194.94,93.6,0,295.36,0.62,0.533140794,0.012310469,0.351877256,0.168953069
Middle Fork Salmon,Camas Creek,1965,68,68,10.26,59.28,91.8,0,161.34,0.64,2.372647059,0.150882353,0.871764706,1.35
Middle Fork Salmon,Camas Creek,1966,369,369,3.12,58.14,129,0,190.26,0.49,0.515609756,0.008455285,0.157560976,0.349593496
Middle Fork Salmon,Camas Creek,1967,341,341,3.06,81.7,212.135,0,296.895,0.58,0.870659824,0.008973607,0.239589443,0.622096774
Middle Fork Salmon,Camas Creek,1968,513,513,4.3,169.4,481.8,0,655.5,0.49,1.277777778,0.008382066,0.330214425,0.939181287
Middle Fork Salmon,Camas Creek,1969,156,156,3.465,63.8,242.018,0,309.283,0.47,1.982583333,0.022211538,0.408974359,1.551397436
Middle Fork Salmon,Camas Creek,1970,153,153,4.4,167.265,254.286,0,425.951,0.49,2.783993464,0.02875817,1.093235294,1.662
Middle Fork Salmon,Camas Creek,1971,215,215,3.717,50.49,39,0,93.207,0.39,0.43352093,0.017288372,0.234837209,0.181395349
Middle Fork Salmon,Camas Creek,1972,385,385,1.224,23.4,57.449,0,82.073,0.55,0.213176623,0.003179221,0.060779221,0.149218182
Middle Fork Salmon,Camas Creek,1973,550,550,2.6,145.145,289.333,0,437.078,0.61,0.794687273,0.004727273,0.2639,0.52606
Middle Fork Salmon,Camas Creek,1974,413,413,0.406,29.667,33.08,0,63.153,0.41,0.152912833,0.000983051,0.07183293,0.080096852
Middle Fork Salmon,Camas Creek,1975,306,306,0,5.92,20.4,0,26.32,0,0.086013072,0,0.019346405,0.066666667
Middle Fork Salmon,Camas Creek,1976,65,65,1,12.24,71.25,0,84.49,0.01,1.299846154,0.015384615,0.188307692,1.096153846
Middle Fork Salmon,Camas Creek,1977,203,203,1.36,118.75,54,0,174.11,0.36,0.857684729,0.006699507,0.584975369,0.266009852
Middle Fork Salmon,Camas Creek,1978,319,319,0,32.4,48.6,0,81,0.18,0.253918495,0,0.101567398,0.152351097
Middle Fork Salmon,Camas Creek,1979,40,40,3.6,29.16,10.8,0,43.56,0.04,1.089,0.09,0.729,0.27
Middle Fork Salmon,Camas Creek,1980,34,34,3.24,6.48,37.505,0,47.225,0.03,1.388970588,0.095294118,0.190588235,1.103088235
Middle Fork Salmon,Camas Creek,1981,190,190,0.72,27.495,20.876,0,49.091,0.07,0.258373684,0.003789474,0.144710526,0.109873684
Middle Fork Salmon,Camas Creek,1982,90,90,0,12.002,56.3,NA,NA,0.09,NA,0,0.133355556,0.625555556
Middle Fork Salmon,Camas Creek,1983,81,81,1.088,43.3,NA,0,NA,0.09,NA,0.013432099,0.534567901,NA
Middle Fork Salmon,Camas Creek,1984,18,18,0.5,NA,58.23,0,NA,0.1,NA,0.027777778,NA,3.235
Middle Fork Salmon,Camas Creek,1985,65,65,NA,31.68,4.761,0,NA,0.07,NA,NA,0.487384615,0.073246154
Middle Fork Salmon,Camas Creek,1986,34,34,0.09,4.194,24.82,0,29.104,0.08,0.856,0.002647059,0.123352941,0.73
Middle Fork Salmon,Camas Creek,1987,100,100,0.045,8.568,8.736,0,17.349,0.08,0.17349,0.00045,0.08568,0.08736
Middle Fork Salmon,Camas Creek,1988,NA,NA,0.612,11.928,68.931,0,81.471,0.14,NA,NA,NA,NA
Middle Fork Salmon,Camas Creek,1989,90,90,0.336,11.907,3.6,0,15.843,0.1,0.176033333,0.003733333,0.1323,0.04
Middle Fork Salmon,Camas Creek,1990,9,9,0.162,2.16,0,0,2.322,0.12,0.258,0.018,0.24,0
Middle Fork Salmon,Camas Creek,1991,34,34,0.24,0,0.927,0,1.167,0.1,0.034323529,0.007058824,0,0.027264706
Middle Fork Salmon,Camas Creek,1992,21,21,0,1.968,9.723,3.15,14.841,0.08,0.706714286,0,0.093714286,0.463
Middle Fork Salmon,Camas Creek,1993,81,81,0.105,10.248,44.9,0.693,55.946,0.07,0.690691358,0.001296296,0.126518519,0.554320988
Middle Fork Salmon,Camas Creek,1994,6,6,1.029,1.95,1.386,0,4.365,0.1,0.7275,0.1715,0.325,0.231
Middle Fork Salmon,Camas Creek,1995,0,0,0,5.886,2.445,0,8.331,0.05,NA,NA,NA,NA
Middle Fork Salmon,Camas Creek,1996,3,3,1.035,11.505,7.35,0,19.89,0.05,6.63,0.345,3.835,2.45
Middle Fork Salmon,Camas Creek,1997,21,21,1.05,286.65,185.234,0,472.934,0.07,22.52066667,0.05,13.65,8.820666667
Middle Fork Salmon,Camas Creek,1998,50,50,0,76.766,232.8,0.413,309.979,0.06,6.19958,0,1.53532,4.656
Middle Fork Salmon,Camas Creek,1999,9,9,0,48.597,8.201,0,56.798,0.04,6.310888889,0,5.399666667,0.911222222
Middle Fork Salmon,Camas Creek,2000,15,15,9.603,49.501,14.88,0,73.984,0.06,4.932266667,0.6402,3.300066667,0.992
Middle Fork Salmon,Camas Creek,2001,294,294,0.885,42.16,12.36,0.884,56.289,0.15,0.191459184,0.003010204,0.143401361,0.042040816
Middle Fork Salmon,Camas Creek,2002,262,262,4.96,27.64,25.228,1.334,59.162,0.13,0.22580916,0.018931298,0.105496183,0.096290076
Middle Fork Salmon,Camas Creek,2003,291,291,0,6.528,20.516,0,27.044,0.09,0.092934708,0,0.02243299,0.070501718
Middle Fork Salmon,Camas Creek,2004,59,59,1.36,22.494,6.216,0.318,30.388,0.11,0.515050847,0.023050847,0.381254237,0.105355932
Middle Fork Salmon,Camas Creek,2005,62,62,1.656,27.491,8.48,0.189,37.816,0.08,0.609935484,0.026709677,0.443403226,0.136774194
Middle Fork Salmon,Camas Creek,2006,40,40,3.33,42.877,3.816,0.544,50.567,0.08,1.264175,0.08325,1.071925,0.0954
Middle Fork Salmon,Camas Creek,2007,34,34,1.325,4.311,36.448,0.301,42.385,0.09,1.246617647,0.038970588,0.126794118,1.072
Middle Fork Salmon,Camas Creek,2008,46,46,0.684,29.376,14.491,0,44.551,0.15,0.9685,0.014869565,0.638608696,0.315021739
Middle Fork Salmon,Camas Creek,2009,37,37,1.564,15.308,16.92,0,33.792,0.09,0.913297297,0.04227027,0.41372973,0.457297297
Middle Fork Salmon,Camas Creek,2010,53,53,12.9,65.61,5.994,0.497,85.001,0.15,1.603792453,0.243396226,1.237924528,0.11309434
Middle Fork Salmon,Camas Creek,2011,9,9,7.47,57.024,35.997,0,100.491,0.09,11.16566667,0.83,6.336,3.999666667
Middle Fork Salmon,Camas Creek,2012,68,68,17.982,34.009,11.532,NA,63.523,0.11,0.934161765,0.264441176,0.500132353,0.169588235
Middle Fork Salmon,Camas Creek,2013,43,43,0.497,16.585,1.72,NA,18.802,0.09,0.437255814,0.01155814,0.385697674,0.04
Middle Fork Salmon,Camas Creek,2014,90,90,2.883,41.28,NA,NA,44.163,0.12,0.4907,0.032033333,0.458666667,NA
Middle Fork Salmon,Camas Creek,2015,81,81,0,NA,NA,NA,NA,NA,NA,0,NA,NA
Middle Fork Salmon,Camas Creek,2016,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Camas Creek,2017,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Fork Salmon,Camas Creek,2018,43,43,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Imnaha,Catherine Creek,1953,4273.218,4273,268.1574,1247.971,45.5868,0,1561.7152,NA,0.365465839,0.062753035,0.292044777,0.010668026
Imnaha,Catherine Creek,1954,973,973,134.8826,410.0868,122.7488,0,667.7182,NA,0.686246865,0.138625488,0.421466393,0.126154985
Imnaha,Catherine Creek,1955,122,122,30.375,531.9352,362.5667,0,924.8769,0,7.580958197,0.24897541,4.36012459,2.971858197
Imnaha,Catherine Creek,1956,2606,2606,57.316,2584.1175,45.0059,0,2686.4394,0,1.030866999,0.02199386,0.991603031,0.017270107
Imnaha,Catherine Creek,1957,1754.451,1754,213.9997,240.0199,191.7258,0,645.7454,0,0.368061234,0.121975307,0.136806272,0.109279655
Imnaha,Catherine Creek,1958,486.3825,486,61.9742,889.0668,103.1335,0,1054.1745,0.794,2.167377527,0.127418647,1.827916917,0.212041963
Imnaha,Catherine Creek,1959,712.2029,712,65.0928,157.7207,28.08,0,250.8935,0.704,0.352278122,0.091396426,0.221454729,0.039426967
Imnaha,Catherine Creek,1960,3161.486,3161,52.1771,152.88,33.572,1.1894,239.8185,0.601,0.075856259,0.016503979,0.048357007,0.010619057
Imnaha,Catherine Creek,1961,347.4161,347,27.04,705.166,44.446,8.2875,784.9395,0.57,2.259364203,0.077831741,2.029744735,0.127933046
Imnaha,Catherine Creek,1962,1146.473,1146,31.185,462.2384,525.2,0,1018.6234,0.744,0.888484421,0.027200815,0.403182979,0.458100627
Imnaha,Catherine Creek,1963,313,313,118.1262,837.2,129.5472,0,1084.8734,0.67,3.466049201,0.3774,2.674760383,0.413888818
Imnaha,Catherine Creek,1964,208,208,254.475,597.9228,0,0,852.3978,0.852,4.098066346,1.2234375,2.874628846,0
Imnaha,Catherine Creek,1965,770,770,94.4478,1819.3294,64.0832,0,1977.8604,0.663,2.56864987,0.122659481,2.362765455,0.083224935
